nama_pelanggan	segmen	negara	kota	provinsi	kodepos	wilayah	ID_produk	Kategori_produk	sub_kategori_produk	nama_produk	Penjualan	jumlah	diskon	keuntungan
Phillip Breyer	Corporate	United States	Philadelphia	Pennsylvania	19134	East	OFF-EN-10003040	Office Supplies	Envelopes	Quality Park Security Envelopes	62.808	3	0.2	21.1977
Sanjit Chand	Consumer	United States	Los Angeles	California	90004	West	OFF-EN-10003160	Office Supplies	Envelopes	Pastel Pink Envelopes	21.84	3	0	10.4832
Emily Ducich	Home Office	United States	Houston	Texas	77036	Central	OFF-LA-10003923	Office Supplies	Labels	Alphabetical Labels for Top Tab Filing	23.68	2	0.2	8.88
Sanjit Chand	Consumer	United States	Los Angeles	California	90004	West	TEC-AC-10003280	Technology	Accessories	Belkin F8E887 USB Wired Ergonomic Keyboard	29.99	1	0	6.2979
Saphhira Shifley	Corporate	United States	Mesquite	Texas	75150	Central	TEC-AC-10003709	Technology	Accessories	Maxell 4.7GB DVD-R 5/Pack	5.544	7	0.2	1.6632
Muhammed Yedwab	Corporate	United States	Columbus	Ohio	43229	East	FUR-CH-10000847	Furniture	Chairs	Global Executive Mid-Back Manager's Chair	611.058	3	0.3	-34.9176
Erica Hackney	Consumer	United States	Sacramento	California	95823	West	FUR-CH-10001714	Furniture	Chairs	Global Leather & Oak Executive Chair, Burgundy	120.712	1	0.2	-18.1068
Vivek Gonzalez	Consumer	United States	San Diego	California	92037	West	FUR-FU-10001602	Furniture	Furnishings	Eldon Delta Triangular Chair Mat, 52" x 58", Clear	151.72	4	0	27.3096
Harold Pawlan	Home Office	United States	Virginia Beach	Virginia	23464	South	FUR-FU-10002045	Furniture	Furnishings	Executive Impressions 14"	111.15	5	0	48.906
Thea Hendricks	Consumer	United States	Toledo	Ohio	43615	East	FUR-FU-10002960	Furniture	Furnishings	Eldon 200 Class Desk Accessories, Burgundy	35.168	7	0.2	9.6712
Nat Gilpin	Corporate	United States	Jackson	Michigan	49201	Central	OFF-AR-10000380	Office Supplies	Art	Hunt PowerHouse Electric Pencil Sharpener, Blue	151.92	4	0	45.576
Nathan Gelder	Consumer	United States	Cincinnati	Ohio	45231	East	OFF-AR-10004757	Office Supplies	Art	Crayola Colored Pencils	2.624	1	0.2	0.4264
Alyssa Tate	Home Office	United States	Akron	Ohio	44312	East	OFF-BI-10003350	Office Supplies	Binders	Acco Expandable Hanging Binders	5.742	3	0.7	-4.5936
Harold Ryan	Corporate	United States	Seattle	Washington	98103	West	OFF-BI-10004656	Office Supplies	Binders	Peel & Stick Add-On Corner Pockets	12.096	7	0.2	4.2336
Nat Gilpin	Corporate	United States	Jackson	Michigan	49201	Central	OFF-LA-10003930	Office Supplies	Labels	Dot Matrix Printer Tape Reel Labels, White, 5000/Box	196.62	2	0	96.3438
Harold Ryan	Corporate	United States	Seattle	Washington	98103	West	OFF-PA-10001800	Office Supplies	Paper	Xerox 220	25.92	4	0	12.4416
Nat Gilpin	Corporate	United States	Jackson	Michigan	49201	Central	OFF-PA-10001815	Office Supplies	Paper	Xerox 1885	144.12	3	0	69.1776
Nat Gilpin	Corporate	United States	Jackson	Michigan	49201	Central	OFF-PA-10004082	Office Supplies	Paper	Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book	15.96	2	0	7.98
Harold Ryan	Corporate	United States	Seattle	Washington	98103	West	OFF-ST-10000036	Office Supplies	Storage	Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16	197.58	2	0	53.3466
Darren Koutras	Consumer	United States	Chicago	Illinois	60610	Central	OFF-ST-10000046	Office Supplies	Storage	Fellowes Super Stor/Drawer Files	646.2	5	0.2	-8.0775
Harold Ryan	Corporate	United States	Seattle	Washington	98103	West	OFF-ST-10002344	Office Supplies	Storage	Carina 42"Hx23 3/4"W Media Storage Unit	485.88	6	0	9.7176
Richard Bierner	Consumer	United States	Saint Louis	Missouri	63116	Central	TEC-AC-10001772	Technology	Accessories	Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive	111.79	7	0	43.5981
Muhammed Yedwab	Corporate	United States	Columbus	Ohio	43229	East	TEC-PH-10000560	Technology	Phones	Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)	1049.97	5	0.4	-209.994
Thea Hendricks	Consumer	United States	Toledo	Ohio	43615	East	TEC-PH-10002584	Technology	Phones	Samsung Galaxy S4	1502.376	4	0.4	-250.396
James Peterman	Corporate	Canada	St. John's	Newfoundland and Labrador	A0A	East	FUR-FU-10002501	Furniture	Furnishings	Nu-Dell Executive Frame	99.12	8	0	35.4144
James Peterman	Corporate	Canada	St. John's	Newfoundland and Labrador	A0A	East	FUR-FU-10002501	Furniture	Furnishings	Nu-Dell Executive Frame	99.12	8	0	35.4144
Mike Pelletier	Home Office	United States	New York City	New York	10009	East	FUR-BO-10003159	Furniture	Bookcases	Sauder Camden County Collection Libraries, Planked Cherry Finish	275.952	3	0.2	-37.9434
Richard Bierner	Consumer	United States	Los Angeles	California	90004	West	FUR-CH-10002335	Furniture	Chairs	Hon GuestStacker Chair	725.344	4	0.2	54.4008
Matt Collister	Corporate	United States	Arlington	Texas	76017	Central	FUR-FU-10000221	Furniture	Furnishings	Master Caster Door Stop, Brown	6.096	3	0.6	-3.9624
Andy Reiter	Consumer	United States	Woonsocket	Rhode Island	2895	East	FUR-FU-10001095	Furniture	Furnishings	DAX Black Cherry Wood-Tone Poster Frame	52.96	2	0	20.1248
Laurel Workman	Corporate	United States	Brentwood	California	94513	West	FUR-FU-10001940	Furniture	Furnishings	Staple-based wall hangings	23.88	3	0	10.5072
Matt Collister	Corporate	United States	Arlington	Texas	76017	Central	FUR-TA-10000577	Furniture	Tables	Bretford CR4500 Series Slim Rectangular Table	1218.735	5	0.3	-121.8735
Laurel Workman	Corporate	United States	Brentwood	California	94513	West	OFF-AP-10000240	Office Supplies	Appliances	Belkin F9G930V10-GRY 9 Outlet Surge	320.88	6	0	93.0552
Sanjit Engle	Consumer	United States	Springfield	Oregon	97477	West	OFF-AR-10003179	Office Supplies	Art	Dixon Ticonderoga Core-Lock Colored Pencils	51.016	7	0.2	8.2901
Richard Bierner	Consumer	United States	Los Angeles	California	90004	West	OFF-AR-10004707	Office Supplies	Art	Staples in misc. colors	7.44	3	0	2.604
Matt Collister	Corporate	United States	Arlington	Texas	76017	Central	OFF-LA-10000248	Office Supplies	Labels	Avery 52	5.904	2	0.2	1.9926
Matt Collister	Corporate	United States	Arlington	Texas	76017	Central	OFF-LA-10001317	Office Supplies	Labels	Avery 520	2.52	1	0.2	0.882
Laurel Workman	Corporate	United States	Brentwood	California	94513	West	OFF-PA-10000575	Office Supplies	Paper	Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page	26.76	4	0	12.3096
Matt Collister	Corporate	United States	Arlington	Texas	76017	Central	OFF-PA-10000955	Office Supplies	Paper	Southworth 25% Cotton Granite Paper & Envelopes	15.696	3	0.2	5.1012
Mike Pelletier	Home Office	United States	New York City	New York	10009	East	OFF-ST-10003470	Office Supplies	Storage	Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units	1117.92	4	0	55.896
Matt Collister	Corporate	United States	Arlington	Texas	76017	Central	TEC-AC-10001635	Technology	Accessories	KeyTronic KT400U2 - Keyboard - Black	24.672	3	0.2	0
Richard Bierner	Consumer	United States	Los Angeles	California	90004	West	TEC-PH-10001580	Technology	Phones	Logitech Mobile Speakerphone P710e - speaker phone	539.92	5	0.2	47.243
Joel Eaton	Consumer	United States	Houston	Texas	77070	Central	FUR-FU-10003194	Furniture	Furnishings	Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak	19.3	5	0.6	-14.475
Luke Schmidt	Corporate	United States	Fresno	California	93727	West	OFF-AP-10000692	Office Supplies	Appliances	Fellowes Mighty 8 Compact Surge Protector	40.54	2	0	11.3512
Lynn Smith	Consumer	United States	Utica	New York	13501	East	OFF-BI-10001031	Office Supplies	Binders	Pressboard Data Binders by Wilson Jones	17.088	4	0.2	5.7672
Lynn Smith	Consumer	United States	Utica	New York	13501	East	OFF-BI-10001078	Office Supplies	Binders	Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"	12.912	3	0.2	4.6806
Luke Schmidt	Corporate	United States	Fresno	California	93727	West	OFF-BI-10001553	Office Supplies	Binders	SpineVue Locking Slant-D Ring Binders by Cardinal	7.312	1	0.2	2.5592
Luke Schmidt	Corporate	United States	Fresno	California	93727	West	OFF-BI-10002012	Office Supplies	Binders	Wilson Jones Easy Flow II Sheet Lifters	4.32	3	0.2	1.512
Lynn Smith	Consumer	United States	Utica	New York	13501	East	OFF-LA-10001158	Office Supplies	Labels	Avery Address/Shipping Labels for Typewriters, 4" x 2"	93.15	9	0	44.712
Lynn Smith	Consumer	United States	Utica	New York	13501	East	OFF-LA-10001613	Office Supplies	Labels	Avery File Folder Labels	11.52	4	0	5.6448
Lindsay Shagiari	Home Office	United States	San Francisco	California	94109	West	OFF-PA-10001033	Office Supplies	Paper	Xerox 1893	81.98	2	0	40.1702
Natalie Webber	Consumer	United States	Tigard	Oregon	97224	West	OFF-PA-10001166	Office Supplies	Paper	Xerox 2	15.552	3	0.2	5.4432
Luke Schmidt	Corporate	United States	Fresno	California	93727	West	OFF-PA-10002586	Office Supplies	Paper	Xerox 1970	14.94	3	0	7.0218
Natalie Webber	Consumer	United States	Tigard	Oregon	97224	West	OFF-ST-10001097	Office Supplies	Storage	Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers	669.08	5	0.2	-167.27
Natalie Webber	Consumer	United States	Tigard	Oregon	97224	West	TEC-PH-10000038	Technology	Phones	Jawbone MINI JAMBOX Wireless Bluetooth Speaker	438.336	4	0.2	-87.6672
Lynn Smith	Consumer	United States	Utica	New York	13501	East	TEC-PH-10002170	Technology	Phones	ClearSounds CSC500 Amplified Spirit Phone Corded phone	279.96	4	0	78.3888
Jack O'Briant	Corporate	United States	Buffalo	New York	14215	East	FUR-FU-10003268	Furniture	Furnishings	Eldon Radial Chair Mat for Low to Medium Pile Carpets	199.9	5	0	39.98
Maxwell Schwartz	Consumer	United States	New York City	New York	10035	East	OFF-FA-10003021	Office Supplies	Fasteners	Staples	3.76	2	0	1.316
Duane Huffman	Home Office	United States	San Francisco	California	94122	West	FUR-BO-10000330	Furniture	Bookcases	Sauder Camden County Barrister Bookcase, Planked Cherry Finish	411.332	4	0.15	-4.8392
Chris Selesnick	Corporate	United States	Columbia	South Carolina	29203	South	FUR-FU-10003773	Furniture	Furnishings	Eldon Cleatmat Plus Chair Mats for High Pile Carpets	397.6	5	0	43.736
Sheri Gordon	Consumer	United States	San Francisco	California	94109	West	OFF-AP-10004859	Office Supplies	Appliances	Acco 6 Outlet Guardian Premium Surge Suppressor	43.68	3	0	11.7936
Bart Folk	Consumer	United States	Montgomery	Alabama	36116	South	OFF-AR-10001954	Office Supplies	Art	Newell 331	14.67	3	0	3.9609
Chris Selesnick	Corporate	United States	Columbia	South Carolina	29203	South	OFF-AR-10004757	Office Supplies	Art	Crayola Colored Pencils	13.12	4	0	4.3296
Chris Selesnick	Corporate	United States	Columbia	South Carolina	29203	South	OFF-BI-10000309	Office Supplies	Binders	GBC Twin Loop Wire Binding Elements, 9/16" Spine, Black	45.66	3	0	22.3734
Mary O'Rourke	Consumer	United States	Freeport	New York	11520	East	OFF-BI-10003676	Office Supplies	Binders	GBC Standard Recycled Report Covers, Clear Plastic Sheets	17.248	2	0.2	6.0368
Matthew Clasen	Corporate	United States	Richmond	Indiana	47374	Central	OFF-EN-10003862	Office Supplies	Envelopes	Laser & Ink Jet Business Envelopes	64.02	6	0	29.4492
Duane Huffman	Home Office	United States	San Francisco	California	94122	West	OFF-LA-10002043	Office Supplies	Labels	Avery 489	41.4	4	0	19.872
Chris Selesnick	Corporate	United States	Columbia	South Carolina	29203	South	OFF-PA-10001363	Office Supplies	Paper	Xerox 1933	85.96	7	0	40.4012
Duane Huffman	Home Office	United States	San Francisco	California	94122	West	OFF-SU-10001225	Office Supplies	Supplies	Staple remover	7.36	2	0	0.1472
Sheri Gordon	Consumer	United States	San Francisco	California	94109	West	TEC-AC-10003447	Technology	Accessories	Micropad Numeric Keypads	139.93	7	0	34.9825
Brian Thompson	Consumer	United States	Houston	Texas	77041	Central	TEC-MA-10004679	Technology	Machines	StarTech.com 10/100 VDSL2 Ethernet Extender Kit	998.85	5	0.4	-199.77
Bill Stewart	Corporate	United States	Skokie	Illinois	60076	Central	OFF-FA-10003112	Office Supplies	Fasteners	Staples	12.624	2	0.2	3.945
Alan Hwang	Consumer	United States	San Francisco	California	94122	West	OFF-FA-10003495	Office Supplies	Fasteners	Staples	30.4	5	0	15.2
Corey-Lock	Consumer	United States	Philadelphia	Pennsylvania	19143	East	OFF-LA-10000452	Office Supplies	Labels	Avery 488	5.04	2	0.2	1.764
Philip Brown	Consumer	United States	New York City	New York	10009	East	OFF-LA-10002762	Office Supplies	Labels	Avery 485	25.06	2	0	11.7782
Alan Hwang	Consumer	United States	San Francisco	California	94122	West	TEC-PH-10004586	Technology	Phones	Wilson SignalBoost 841262 DB PRO Amplifier Kit	575.92	2	0.2	71.99
Randy Ferguson	Corporate	United States	Orlando	Florida	32839	South	OFF-BI-10000201	Office Supplies	Binders	Avery Triangle Shaped Sheet Lifters, Black, 2/Pack	6.642	9	0.7	-4.428
Jeremy Lonsdale	Consumer	United States	Mount Vernon	New York	10550	East	OFF-EN-10004007	Office Supplies	Envelopes	Park Ridge Embossed Executive Business Envelopes	62.28	4	0	29.2716
Philip Brown	Consumer	United States	Avondale	Arizona	85323	West	OFF-SU-10001664	Office Supplies	Supplies	Acme Office Executive Series Stainless Steel Trimmers	47.992	7	0.2	3.5994
Philip Brown	Consumer	United States	Avondale	Arizona	85323	West	TEC-AC-10002550	Technology	Accessories	Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack	102.24	4	0.2	-16.614
Joe Kamberova	Consumer	United States	Columbus	Ohio	43229	East	FUR-CH-10000015	Furniture	Chairs	Hon Multipurpose Stacking Arm Chairs	909.72	6	0.3	-51.984
Resi Pölking	Consumer	United States	Madison	Wisconsin	53711	Central	FUR-CH-10001854	Furniture	Chairs	Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat	2807.84	8	0	673.8816
Matt Connell	Corporate	United States	Houston	Texas	77070	Central	FUR-CH-10003746	Furniture	Chairs	Hon 4070 Series Pagoda Round Back Stacking Chairs	674.058	3	0.3	-19.2588
Joe Kamberova	Consumer	United States	Columbus	Ohio	43229	East	FUR-FU-10000221	Furniture	Furnishings	Master Caster Door Stop, Brown	8.128	2	0.2	1.4224
Toby Ritter	Consumer	United States	San Francisco	California	94122	West	FUR-FU-10001861	Furniture	Furnishings	Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts	58.2	3	0	28.518
Anna Andreadi	Consumer	United States	Lowell	Massachusetts	1852	East	FUR-FU-10002268	Furniture	Furnishings	Ultra Door Push Plate	9.82	2	0	3.2406
Anna Andreadi	Consumer	United States	Lowell	Massachusetts	1852	East	FUR-FU-10003878	Furniture	Furnishings	Linden 10" Round Wall Clock, Black	45.84	3	0	15.5856
Resi Pölking	Consumer	United States	Madison	Wisconsin	53711	Central	OFF-AR-10000475	Office Supplies	Art	Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black	46.64	4	0	12.5928
Joe Kamberova	Consumer	United States	Columbus	Ohio	43229	East	OFF-PA-10001972	Office Supplies	Paper	Xerox 214	36.288	7	0.2	12.7008
Joe Kamberova	Consumer	United States	Columbus	Ohio	43229	East	TEC-CO-10001571	Technology	Copiers	Sharp 1540cs Digital Laser Copier	659.988	2	0.4	109.998
Toby Braunhardt	Consumer	United States	Jacksonville	North Carolina	28540	South	TEC-PH-10001644	Technology	Phones	BlueLounge Milo Smartphone Stand, White/Metallic	95.968	4	0.2	9.5968
Anna Andreadi	Consumer	United States	Lowell	Massachusetts	1852	East	TEC-PH-10004434	Technology	Phones	Cisco IP Phone 7961G VoIP phone - Dark gray	271.9	2	0	78.851
David Philippe	Consumer	United States	New York City	New York	10035	East	FUR-BO-10003272	Furniture	Bookcases	O'Sullivan Living Dimensions 5-Shelf Bookcases	883.92	5	0.2	-110.49
Odella Nelson	Corporate	United States	Clinton	Maryland	20735	East	FUR-CH-10004754	Furniture	Chairs	Global Stack Chair with Arms, Black	239.84	8	0	64.7568
Michael Dominguez	Corporate	United States	Corpus Christi	Texas	78415	Central	FUR-FU-10001588	Furniture	Furnishings	Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black	58.36	5	0.6	-24.803
Michael Dominguez	Corporate	United States	Corpus Christi	Texas	78415	Central	FUR-FU-10002759	Furniture	Furnishings	12-1/2 Diameter Round Wall Clock	39.96	5	0.6	-23.976
Odella Nelson	Corporate	United States	Clinton	Maryland	20735	East	FUR-FU-10003849	Furniture	Furnishings	DAX Metal Frame, Desktop, Stepped-Edge	60.72	3	0	23.6808
Matt Collins	Consumer	United States	Chicago	Illinois	60623	Central	OFF-AP-10004249	Office Supplies	Appliances	Staple holder	2.394	1	0.8	-6.3441
Michael Dominguez	Corporate	United States	Corpus Christi	Texas	78415	Central	OFF-AR-10000940	Office Supplies	Art	Newell 343	16.464	7	0.2	1.4406
David Philippe	Consumer	United States	New York City	New York	10035	East	OFF-BI-10000050	Office Supplies	Binders	Angle-D Binders with Locking Rings, Label Holders	46.72	8	0.2	15.768
Odella Nelson	Corporate	United States	Clinton	Maryland	20735	East	OFF-LA-10000634	Office Supplies	Labels	Avery 509	15.66	6	0	7.2036
Elizabeth Moffitt	Corporate	United States	Sandy Springs	Georgia	30328	South	OFF-PA-10002195	Office Supplies	Paper	RSVP Cards & Envelopes, Blank White, 8-1/2" X 11", 24 Cards/25 Envelopes/Set	15.24	3	0	7.1628
Odella Nelson	Corporate	United States	Clinton	Maryland	20735	East	OFF-PA-10002923	Office Supplies	Paper	Xerox 1942	146.82	3	0	73.41
Elizabeth Moffitt	Corporate	United States	Sandy Springs	Georgia	30328	South	TEC-AC-10000199	Technology	Accessories	Kingston Digital DataTraveler 8GB USB 2.0	5.95	1	0	0.833
Katherine Nockton	Corporate	United States	Columbus	Ohio	43229	East	TEC-AC-10001267	Technology	Accessories	Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...	119.8	5	0.2	29.95
David Philippe	Consumer	United States	New York City	New York	10035	East	TEC-AC-10003628	Technology	Accessories	Logitech 910-002974 M325 Wireless Mouse for Web Scrolling	119.96	4	0	52.7824
Neil Cohen	Home Office	Canada	Halifax	Nova Scotia	B3H	East	FUR-FU-10001588	Furniture	Furnishings	Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black	58.36	5	0.6	-24.803
Michael Knudson	Corporate	Canada	Moncton	New Brunswick	E1A	East	FUR-FU-10002759	Furniture	Furnishings	12-1/2 Diameter Round Wall Clock	39.96	5	0.6	-20.976
Michael Knudson	Corporate	Canada	Moncton	New Brunswick	E1A	East	OFF-AR-10000940	Office Supplies	Art	Newell 343	16.464	7	0.2	2.4406
Matthew Clasen	Corporate	United States	Saint Louis	Missouri	63116	Central	OFF-PA-10001972	Office Supplies	Paper	Xerox 214	25.92	4	0	12.4416
Nathan Gelder	Consumer	United States	Oklahoma City	Oklahoma	73120	Central	TEC-PH-10003811	Technology	Phones	Jabra Supreme Plus Driver Edition Headset	479.96	4	0	134.3888
Cathy Prescott	Corporate	United States	New York City	New York	10024	East	TEC-PH-10000673	Technology	Phones	Plantronics Voyager Pro HD - Bluetooth Headset	129.98	2	0	62.3904
Tracy Zic	Consumer	Canada	Vancouver	British Columbia	V6B	West	FUR-FU-10004270	Furniture	Furnishings	Eldon Image Series Desk Accessories, Burgundy	25.08	6	0	9.03
Tracy Zic	Consumer	Canada	Vancouver	British Columbia	V6B	West	OFF-AR-10003723	Office Supplies	Art	Avery Hi-Liter Fluorescent Desk Style Markers	16.9	5	0	6.25
Joni Blumstein	Consumer	United States	Los Angeles	California	90032	West	OFF-AP-10001469	Office Supplies	Appliances	Fellowes 8 Outlet Superior Workstation Surge Protector	250.26	6	0	72.5754
Brendan Sweed	Corporate	United States	Gilbert	Arizona	85234	West	OFF-AR-10002671	Office Supplies	Art	Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige	1113.024	8	0.2	111.3024
Rob Lucas	Consumer	United States	Los Angeles	California	90045	West	OFF-AR-10003045	Office Supplies	Art	Prang Colored Pencils	26.46	9	0	11.907
Erin Ashbrook	Corporate	United States	Columbus	Ohio	43229	East	OFF-BI-10003719	Office Supplies	Binders	Large Capacity Hanging Post Binders	29.94	4	0.7	-23.952
Nona Balk	Corporate	United States	Philadelphia	Pennsylvania	19134	East	OFF-EN-10000056	Office Supplies	Envelopes	Cameo Buff Policy Envelopes	348.488	7	0.2	117.6147
Rob Lucas	Consumer	United States	Los Angeles	California	90045	West	OFF-FA-10002280	Office Supplies	Fasteners	Advantus Plastic Paper Clips	15	3	0	7.2
Erin Ashbrook	Corporate	United States	Columbus	Ohio	43229	East	OFF-PA-10001033	Office Supplies	Paper	Xerox 1893	98.376	3	0.2	35.6613
Rob Lucas	Consumer	United States	Los Angeles	California	90045	West	OFF-PA-10001363	Office Supplies	Paper	Xerox 1933	49.12	4	0	23.0864
Erin Ashbrook	Corporate	United States	Columbus	Ohio	43229	East	OFF-PA-10003036	Office Supplies	Paper	Black Print Carbonless 8 1/2" x 8 1/4" Rapid Memo Book	17.472	3	0.2	5.6784
Nona Balk	Corporate	United States	Philadelphia	Pennsylvania	19134	East	OFF-ST-10001469	Office Supplies	Storage	Fellowes Bankers Box Recycled Super Stor/Drawer	172.736	4	0.2	-30.2288
Roy Collins	Consumer	United States	Alexandria	Virginia	22304	South	OFF-ST-10002444	Office Supplies	Storage	Recycled Eldon Regeneration Jumbo File	24.56	2	0	6.8768
David Kendrick	Corporate	United States	Decatur	Illinois	62521	Central	OFF-ST-10003455	Office Supplies	Storage	Tenex File Box, Personal Filing Tote with Lid, Black	24.816	2	0.2	1.8612
David Kendrick	Corporate	United States	Decatur	Illinois	62521	Central	TEC-AC-10004659	Technology	Accessories	Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB	408.744	7	0.2	76.6395
Erin Ashbrook	Corporate	United States	Columbus	Ohio	43229	East	TEC-PH-10001809	Technology	Phones	Panasonic KX T7736-B Digital phone	179.94	2	0.4	-44.985
Erin Ashbrook	Corporate	United States	Columbus	Ohio	43229	East	TEC-PH-10001870	Technology	Phones	Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5	36.738	1	0.4	-9.1845
Brendan Sweed	Corporate	United States	Gilbert	Arizona	85234	West	TEC-PH-10002726	Technology	Phones	netTALK DUO VoIP Telephone Service	167.968	4	0.2	62.988
Berenike Kampe	Consumer	United States	Chicago	Illinois	60610	Central	FUR-FU-10002088	Furniture	Furnishings	Nu-Dell Float Frame 11 x 14 1/2	10.776	3	0.6	-4.8492
Luke Foster	Consumer	United States	Houston	Texas	77095	Central	FUR-FU-10002759	Furniture	Furnishings	12-1/2 Diameter Round Wall Clock	23.976	3	0.6	-14.3856
Ryan Crowe	Consumer	United States	Springfield	Oregon	97477	West	FUR-TA-10003238	Furniture	Tables	Chromcraft Bull-Nose Wood 48" x 96" Rectangular Conference Tables	275.49	1	0.5	-170.8038
Berenike Kampe	Consumer	United States	Chicago	Illinois	60610	Central	FUR-TA-10004086	Furniture	Tables	KI Adjustable-Height Table	214.95	5	0.5	-120.372
Berenike Kampe	Consumer	United States	Chicago	Illinois	60610	Central	OFF-AP-10004036	Office Supplies	Appliances	Bionaire 99.97% HEPA Air Cleaner	14.016	4	0.8	-31.536
Berenike Kampe	Consumer	United States	Chicago	Illinois	60610	Central	OFF-BI-10004965	Office Supplies	Binders	Ibico Covers for Plastic or Wire Binding Elements	4.6	2	0.8	-8.05
Barry Gonzalez	Consumer	United States	Memphis	Tennessee	38109	South	OFF-PA-10003641	Office Supplies	Paper	Xerox 1909	42.208	2	0.2	13.7176
Roland Schwarz	Corporate	United States	Los Angeles	California	90008	West	OFF-ST-10001496	Office Supplies	Storage	Standard Rollaway File with Lock	1261.33	7	0	327.9458
Ryan Crowe	Consumer	United States	Springfield	Oregon	97477	West	OFF-ST-10002205	Office Supplies	Storage	File Shuttle I and Handi-File	53.424	3	0.2	4.6746
Berenike Kampe	Consumer	United States	Chicago	Illinois	60610	Central	OFF-ST-10002485	Office Supplies	Storage	Rogers Deluxe File Chest	35.168	2	0.2	-8.3524
Berenike Kampe	Consumer	United States	Chicago	Illinois	60610	Central	TEC-PH-10000307	Technology	Phones	Shocksock Galaxy S4 Armband	35.04	4	0.2	-7.008
Frank Preis	Consumer	United States	Los Angeles	California	90049	West	OFF-AR-10003190	Office Supplies	Art	Newell 32	8.64	3	0	2.4192
Erica Hernandez	Home Office	United States	San Francisco	California	94109	West	OFF-PA-10000062	Office Supplies	Paper	Green Bar Computer Printout Paper	164.88	3	0	80.7912
Patrick O'Brill	Consumer	United States	Virginia Beach	Virginia	23464	South	OFF-PA-10003641	Office Supplies	Paper	Xerox 1909	105.52	4	0	48.5392
Ann Steele	Home Office	United States	Seattle	Washington	98103	West	OFF-ST-10000532	Office Supplies	Storage	Advantus Rolling Drawer Organizers	269.36	7	0	70.0336
Jim Karlsson	Consumer	United States	Olympia	Washington	98502	West	FUR-CH-10002602	Furniture	Chairs	DMI Arturo Collection Mission-style Design Wood Chair	603.92	5	0.2	45.294
Denny Joy	Corporate	United States	San Francisco	California	94110	West	FUR-FU-10000397	Furniture	Furnishings	Luxo Economy Swing Arm Lamp	39.88	2	0	11.1664
Denny Joy	Corporate	United States	San Francisco	California	94110	West	FUR-FU-10000758	Furniture	Furnishings	DAX Natural Wood-Tone Poster Frame	79.44	3	0	28.5984
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	OFF-BI-10001132	Office Supplies	Binders	Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2" X 11"	6.456	4	0.7	-4.5192
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	OFF-LA-10001569	Office Supplies	Labels	Avery 499	27.888	7	0.2	9.0636
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	OFF-LA-10004409	Office Supplies	Labels	Avery 492	11.52	5	0.2	3.744
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	OFF-PA-10001569	Office Supplies	Paper	Xerox 232	10.368	2	0.2	3.6288
Jim Karlsson	Consumer	United States	Olympia	Washington	98502	West	OFF-PA-10001954	Office Supplies	Paper	Xerox 1964	45.68	2	0	21.0128
Thomas Boland	Corporate	United States	Houston	Texas	77041	Central	OFF-ST-10000777	Office Supplies	Storage	Companion Letter/Legal File, Black	60.416	2	0.2	6.0416
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	OFF-ST-10001031	Office Supplies	Storage	Adjustable Personal File Tote	39.072	3	0.2	2.9304
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	OFF-SU-10000432	Office Supplies	Supplies	Acco Side-Punched Conventional Columnar Pads	13.88	5	0.2	-2.6025
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	TEC-AC-10004227	Technology	Accessories	SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card	103.92	10	0.2	-18.186
Tim Brockman	Consumer	United States	Salem	Oregon	97301	West	TEC-PH-10003095	Technology	Phones	Samsung HM1900 Bluetooth Headset	52.68	3	0.2	19.755
Thomas Seio	Corporate	United States	Chicago	Illinois	60653	Central	OFF-AP-10003287	Office Supplies	Appliances	Tripp Lite TLP810NET Broadband Surge for Modem/Fax	20.388	2	0.8	-53.0088
